Name,Date,Review,People_Found_Helpful
vikas kumar,"March 25, 2025","there has to an option for language English for the DEPARTMENT and DEPARTMENT CATEGORY, because the app has the option for English but the department and its categories are still in hindi ...",0
K Alam,"March 22, 2025",I tried my best to send my complaint through this portal . I clicked for OTP but didn't work. Being compelled I uninstalled it.,0
Raj Kumar Jain,"March 22, 2025","sir, app is to be improved in general public interest,as early as possible for resolve their problems , pls acknowledge us . thanks",0
Abdul,"November 1, 2024","Most of the time there is some issue with the working of the app like crash , slow running , network problem, maintenance etc . Rubbish app interface. Government should hire some IT professionals to solve this issue found in most the government apps. The private sector has done a great job in this by hiring good professionals to solve this issue by paying a handsome salary.",11
ILA DAVID,"October 26, 2024",I don't understand why the need to access contact list messages and manage phone calls... if the permissions are not granted you can't use this application. I don't feel the need to share my phones contact aor call permissions. There has to be a valid reason for it.,2
Anam Ejaz,"February 4, 2025",My Complaint was immediately addressed and they took action. The problem was resolved and they verified multiple times if My work was done. Excellent app. You guys are working for the nation. Keep up the good work.,22
K.R K.G,"February 25, 2025",The feedback system is not working in this app or website.I could not fill the feedback of any complaint. Please resolve this issue as soon as possible in both app and website.,4
Tiwari Vinay,"February 14, 2025","Why you need my privacy detilsike contact access, location access withese kind of access your app will not work. Provide the reason please.",2
Amrish Jangra,"January 10, 2025",Used 2 times. Jansunwai is very effective way of complaint redressal. First time used for Jal Vibhag & this time for cleanliness of area by Nagar Nigam. Both the time issue was heard and officers were running after complainant for resolution and closure instead of other way around.,25
MK Saxena,"March 18, 2025",Nice app but need more things to add in it for transparency like how many time visited to department officials should be on record. Initial Response: Actions taken to secure the scene and commence the investigation. Evidence Collection: Procedures for the collection and processing of evidence correctly. Interviews: The conventional way of conducting interviews of witnesses and other concerned persons. Root Cause Analysis: Frameworks and tools for identifying the potential root causes of the occu,0
Dhananjay Dubey,"December 4, 2024","It is a wonderful App, Because it helps to raise Complaint to uppermost officer in any department but at ground level their is no positive response they just you not selected the correct category, department or some other resons, positive disposal of complaint it not all happening.",61
Ankur Sinha,"December 9, 2024",Very good experience nice app creates a bridge between public and government departments and government itself.My problems are listened and departments not too much delay gives quick responses.,24
Jitendra Kumar (ashish),"December 20, 2024",Register complaint closed without any investigation and police never take action on these request. I logged complaint so many times but local police biased.,5
tarun dhyani,"October 30, 2024",After updation today application is crashing again and again won't able to open the application. Developer's kindly look at the application,3
Gurpreet Singh,"July 17, 2023","Dear Jansunwai Support Team, I am writing to provide feedback regarding the Jansunwai Government App, as I am currently experiencing several issues while using it. I hope that by sharing my feedback, you can address these problems and improve the overall functionality of the app. Firstly, I have encountered frequent crashes while attempting to open the app. It often freezes upon launch or abruptly closes, making it impossible for me to access its features. This issue persists even after reinst",172
dharavath ganesh,"May 10, 2020",Very bad experience... I dont know why but when ever i try to track my e pass status.. some unknown characters appears on screen. And talking about the service its been almost 5 days that i have applied for migrant registration... My status is still pending... Where as other states doing the job in 2 days... Very much disappointed,74
A Google user,"August 12, 2019","Hello Developer Team, App is good but i have few observations which could help the end-user utilize it much more better. 1. When we go to feedback section and need to enter the complaint number which is a bit time taking. So you can create a drop-down option with the related phone number registered complaint and we can select them easily. 2. When we see the status of the complaint and if any document is uploaded from any officer then i cannot download that document. So there should be a download",50
A Google user,"October 15, 2019",This app is very disturbing as its new version is not working on my phone and a dialog box is appearing saying that this app is stopped and also in the previous version its saying that internet connection is not good since a month or two. Kindly fix this.,282
Harishchand Gupt,"March 13, 2023",The app is good for make complaint . But after installing when we open the app it asks for call aand contacts permission that is not important for making the complaint. It seems the developer wants to take call and contacts permission and they misuse our data that is biggest drawback of this app I suggest the developer to fix the issue and don't try to take anyone's personal information like call and contacts.,108
A Google user,"February 20, 2019","Totally wrost.. We can't uptade feedback against IGRS complaints... We can't lodge complaint on toll free no. 1076. Overall department is not able to update negative feedbacks on this portal. All time there are technical issues appearThere is no option to attach more documents and the size of documents is too short (500kb only). While now days mostly gadgets create minimum documents size upto 3-5 MB. There is a need to upgrade it.... I complain it to the technical dept., but there is no response.",16
A Google user,"May 20, 2019",This App will be only effective if response to the online complaint is monitored n checked for its authenticity. I have repeatedly lodged my complaint from last three years but every time they have either given false feedback of problem has been resolved or diverted it to somebody else. they have instituted a mechanism to take feedback telephonically but they also just do the formalities or have set statement that due to technical issues ur problem can't be solved. Worst response system.,78
HARISH TIWARI,"November 15, 2021","No solution is given just calling form center and asking every time that does your issue solved 😂 then I tell them no, they say we will respond to your issue as quickly as possible and then disconnect the call and repeat the same process at every next call. So over all this is useless app so don't download it.",26
A Google user,"November 15, 2019","The App first of all started problem, after recent update, it stopped showing my complaints after which were registered after April 2019, and was showing complaints only till April19. Then it has shut me out now , not logging me in. Even after sending email to technical department no response from them The application has become a total lost cause as application sent via CPGRAMS also gets transfered to this, and later there is no means to track same.agai",8
kaushik dutta,"September 20, 2024","Sometimes it works fine but most of the time it won't open up & says neywork issue, while at the same time other apps & sites function normally. It's like playing with emotions of people and it's a another kind of corruption or you can say it digital corruption.",19
Pratham Singh,"August 14, 2024","After submitting the application, I got a complaint number. Upon checking the status of the complaint filed, it displays phone number/email id cannot be linked to any complaint number. No such complaint can be found in the app. Please fix this bug. Don't even know if this app is operational or just listed here for show-biz.",0
anoop srivastav.,"August 22, 2023","it is very good app,it helps to be in touch of our civil services as well government services but still needs modification in areas like user registration,providing proper user id and password to edit and delete the complaint adding a field for social groups etc...",0
A Google user,"October 19, 2019","Registered complaint on 11/09/19. Due date given to me was 03/10/19. But still no action taken by the department. I have tried to send a reminder but due to the technical problem in the app I am unable to send it. I have also discussed the issue 2-3 times with the customer support service but they are only giving me assurance and nothing else. Respected CM sir, kindly resolve my problem. I shall be highly obliged.",48
Satishchandra Mishra,"March 2, 2021","The app is very good but the official concerned dont do their job properly as per laid down procedures. They just throw the ball from one to another without verification of the complaint etc..The correct sentence would be inefficient officials, just don't want any headache, but salary ontime by showing good performance without doing anything.",679
A Google user,"October 6, 2019","I am unable to see anything on the app from the past 3-4 days. None of the complaints which i made and are still pending are showing in the app. It just keep processing and then a message comes that "" some network issue please try after some time"" and it is happening from the past 3-4 days.",406
Sunny Singh,"February 6, 2022",Need some improvement: 1. App keeps auto rotating while auto rotate is turned off. 2. Requests are getting resolved only in the portal not in reality. There is no option to reopen the ticket and get it escalated to higher authorities. Hope this makes sense!,206
Chitra Sahai,"May 2, 2021","I am registering grievance and on grievance area detail screen, Area field is greyed out and rural is selected by default. Because rural is selected and I cannot change it, as it is read only; I am unable to register complaint. The screen asks me for rural area details like Panchayat. I need to register a complaint under Urban area. When corona is on peak, and app is behaving like this, where would we register our issues? Also the site ( alternative ) is in poor state too and is not working.",205
Deepesh Grover,"May 27, 2022","The app is like government only, updated regularly, have the ability to perform required tasks but do not work at all. Moreover if it ever opens by mistake, the the department list is not translated in English so that you cannot select right department quickly.👌🥲",223
A Google user,"October 9, 2019","App was shutdown for 3-4 days and after update, it's not working properly. Though all permission are enabled still it's hanging. All my grievances are not showing up. It's showing invalid mobile number. Kindly look into it.",66
R S Roy,"March 12, 2025","Can't lodge a complaint / grievance as there is no option for Builder absconding with money and stamp papers for registry. Also what to fill in for Noida sector 76? Rural or Urban? No option of NOIDA in selection of area, Tehsil, Police Station and Ward. Thee is so much talk about Digital governance and quick resolution of public grievances but the system is useless.",0
Upender Sharma,"March 6, 2025",I have a very bad experience because there is no redressal happened in this system. Complaint never reached to the CM. Departments only befooling the complainents.,2
MAHENDRA S,"April 4, 2021","Worst app ever.Asks for several permission like cobtacts, phone, lication files and media ,, raises suspicion than I think govt is spyning on installer's data. And notification to give permission is constantly displayed on screen,,, though app isnot in use. Total Harassement.",11
A Google user,"November 22, 2018","Earlier version of this app was good where we were able to select the departed or organization. But now, complaint are closed without any action saying complaint related to other department or organization. Hate this new version. Bring back the old facility of choosing organization and department",18
Ashutosh Pandey,"October 20, 2021","No resolution is given by the app, they only fool you by calling regularly at odd times like 7 in the morning but nothing more is done by them. A complaint of more than 4 months is still pending but no resolution has been given. Some improvement has been done do I give 1 more star for that.",256
A Google user,"September 10, 2019",It's totally waste of time I am not able to login in this app when you install this app you see it say fill your name father's name mobile number and email ID when I enter my mobile number and click on sign in option it's going on and on and at last it's a you have network issue... Maybe it's a bug or issue you with your application.,150
A Google user,"October 5, 2019","Does not work with the update ( 4oct19 , not even getting the logon page just one persistent msg that # go to settings and enable permission. But all permission is already enabled. Done with reinstalling n rebooting two times. In Nougat right now(model: OP5 )",4
Yousuf Nomani,"October 30, 2020","You have made an awesome app, but officers related with the issues don't give satisfactory to the people. Actually, they even don't solve it at all. By the way It was cumbersome to complain. Jansunwai app and portal, both are doing a great job in listening to complains, but there should be an option to rate officer's answer which should affect the officers record . Thank you the team who is working for it.",208
Varun India,"December 24, 2023",Attachments don't show up in the final complaint. When looking at the complaint in the tracking view... the attachment which was made when submitting the complaint... can no longer be found. That's a very serious issue.,169
Aman kumar,"October 13, 2024",No one listens on this app. Raised a complaint since 28-09-2024. But it's still pending. We can not even select dissatisfied option in feedback on disposal as drop-down list doesn't work.,15
A Google user,"September 4, 2019","This app is not able give solution, it's look like as a carry and forwarder app which forward applicant application to departments but respective department submit his closers as a routine practice without solution and nobody cross questions to that particular department that submitted closers is perfect or not and applicants happy with closers.",0
Arun Kumar Sharma,"January 17, 2025",Amazing service n ap experience kudos to developer n concept of the app I wish there should be an option to give 10 stars I am short on words to explain how useful the app is ❤️❤️👏👏👏👏👏👌👌👌👌🙏🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🚩🚩🚩🚩,0
A Google user,"March 31, 2020","The Application can't be rated high for the initiative. I will say that the application has a very primitive type interface moreover it doesn't record the hindi application as written in app. It mis spells the words while saving in PDF, hope it doesn't mis spell to the database too. Lot of improvisations expected for such a great initiative.",14
Aaditya Yadav,"February 19, 2025","One of the best action taken by the up yogi government that they had made this app . I used this app i lodged a complaint . Within 20 days I git reply from the respective departments. I request you all please install the app and whenever you feel that you are cheated or any corruption is happening in your known. Please lodge a complaint with proof .
1 person found this review helpful",0
A Google user,"July 23, 2019","Very bad response from the concerned officers to solve the problems. My complaint has passed over two months but no solution. The complaints are being disposed off without any action. Only once feedback is accepted by system, second time when complaint re-opens and disposed off, the system don't accept any feedback. I have repeated the same complaint third time but don't hope any solution.",104
A Google user,"May 29, 2019","App is incomplete , options given on main page but not working... Like ""मुख्यमंत्री helpline"", अर्थिक सहायता, etc only जनसुनवाई is working... Only जनसुनवाई option is working but that is also at portal only... And solution & Execution is zero... This is just wasting of time.. Worst.. I have done 3 complaints none of them getting solved and false informations and fake solutions are being done by government employees..",79
A Google user,"September 22, 2019",I had submitted the complaint 4 days back. The status of the complaint states that complaint has been forwarded to GNN. The garbage has not been removed in entirety. The relevant App states that reminder cannot be sent before 30 days of lodging the complaint. This is weird rule.So that means I remain in limbo till GNN wakes up and do their job properly.,12
A Google user,"October 6, 2019","App is not letting me login, giving constant error- Go to settings and enable permissions Although I have given the permissions, still the same error. Please fix this error in the app as it is cascading the error on all other applications too.",42
Rohit Thakur,"October 9, 2024",Complaints are closing by letters provided of back dated . The feedback option should be also applied on documents need as the officers are closing complaint by providing any other documents which I was not demand. I hope you will look at this positively and applied it to improve this fruitful application. Regards,7
A Google user,"October 10, 2019","worst system....there are not available highclass officers. this app only for distt level officers. Today i did again install the app that error is go setting and enable permissions. I enabled all the permissions but error comes again and again. What is this. Poor service
1 person found this review helpful",0
Narottam Dutta,"June 27, 2023","Very poor. The complaints lodged are falsely settled and after giving feedback about 30 times,no action is taken against the falsifiyers. It is better to do away with this App.Even response of 1076 is far from satisfactory. Many deptts aren't covered in the App and land up at wrong addressee resulting in zero action.Needs to be reviewed.",2
A Google user,"December 8, 2019",Worst possible app. Just an eye wash The complaint i registered was assigned to conerned authority. And i was given a 1 month(approx) deadline It sent me a msg saying complaint has been reolsved. When the compalint was as it is.. i was not called not even informed. it happened twice. Whats the use of such app. ?,8
Prabhat Khare,"October 20, 2020","A stupid & useless App. I lodged a complaint which was closed w/o assigning any reason. Repeated the compliant thrice and everytime it was closed, without any explanation or reason. No one had a courtesy ti even speak to me before disposing ofc my compliant. The App seems to have been made to show off or just to satisfying egos of typically dumb and inefficient bureaucracy of UP in India. Requesting CM Yogi ji to relook it's functioning. It is a lousy and nonsensical App to waste public's time.",129
A Google user,"November 29, 2018",The application has some bugs as whenever I try to login in the app it says that there is some network issue. Fix this as to register the complain we have to be logged in. This is happening since the last update.,7
Rahul Cares,"July 17, 2023",This app does nothing. U lodge a complaint. They hear it after 15-30days. Then they send u message that the matter is resolved without any proper dealing or processing. I lodged first complaint which went over without anything and then second complaint after which now I cannot even access my complaints on the app. Seem they have banned me.,42
ashwini kumar,"June 1, 2021","A proper implementation of digital India can be seen through this app. First time, the state government has taken any step by launching this app, in favor of its local people that provides immediate resolution to their problems/issues. A very very helpful app for the people of UP. The only thing which is needed to be improved is the language preference as English is everywhere now a days so the app must be set to bilingual.",6
Vinay Singh,"March 31, 2023","Sign in functionality is not working. One cannot even login after installing the app! After providing the information (Name, Father's name etc) a toast message ""There may be some problem. Please try again"" is being displayed.",7
A Google user,"September 16, 2018",This is great to report the ground level realty Direct to someone who listens and individual can track his application without wasting time. As there are 100% chance of loss or misresprentation of paper application.,0
vishnu gupta,"May 26, 2022","Application is not starting after sign up. After sign up, Application automatically closes and it is happening muliple time. I am not able to run app even single time. It's a BIG blocker from Application.",154
Ankit Maurya,"October 16, 2020","I am uploading an image of 405 KB, still getting error that image above 500 KB can not be uploaded. Please fix the bug. And also why can't you use GPS to detect location automatically instead expecting from user to fill it manually, are you living in 90's ??",12
Sheel Gupta,"May 17, 2023","This app is useless until & unless you are not giving options to select area of complaint i.e. rural/urban,by default you fixed rural,there is no option to select urban, so urban candidate cannot put their complaint. Please rectify this error.
1 person found this review helpful",0
A Google user,"November 30, 2018",I've filled complaint 4 times through this app but never got the result and after the update it has became worst I was not even able to select the jail department because it's not in the list. Everytime they show that your complain is sorted but in reality it's not. If this app is created for common men's welfare then someone should be responsible for it else it is just a lollipop like all the election promises..,5
A Google user,"February 19, 2019","Ultimately these people have proved that they are and will be ""SARKARI"" always. No matter you make it digital or manual. None can change their basic instinct. They don't work in the problems/complaints. Either these complaints are left pending or closed without any resolution.",4
Abdul Alvi,"November 29, 2022",The app has an inherent Deficiency. It doesn't send the complaint to correct person. The complaints returned with comment that it is not related to that particular office/officer is not redirected to correct person. Repeated requests for correction has not been addressed. The app has become redundant and useless. The defect in the app is still there. Developer has not made any attempt to rectify it.,103
A Google user,"May 24, 2019","A good initiative taken by UP Govt. but it's simply a formality of complaint box in which no action taken and if you go for the status it's show "" निस्तारण"" that means complaint has been resolved but no officer or team even come to check the issue and if you send reminder by the system app it cannot go before 30 days from the date of the complaint. In simple words jansunwai app is only collection box of complaints but there is no hope of rectification of complaints.",30
Sandeep Chauhan,"March 8, 2021",Nice initiative by CM Yogi to help the common public of uttar pradesh. Immediate action gets initiated by this application and officers comes in action. There is a debug that needs to be fixed the screen auto rotates and comes back to the first page where we start registering for the complaint or demand. IT team please fix this stupid issue.,0
Rahul Srivastava,"July 14, 2023","Apps are bound to close as soon as they are opened. There should be another language option.There are also many problems in choosing the complaint related option. Even in city's ward, all the wards are not named.",198
Shrikant Thakur,"July 29, 2024","Despite my detailed report and follow-up attempts, I have seen no action taken or any form of acknowledgment from your team. The issue remains unresolved, and the app continues to be unusable. I would appreciate immediate attention to this matter and a resolution at the earliest convenience.",52
VK creation Creation,"March 29, 2025",this is very good platform for complent against corrections thanks u,0
A Google user,"October 9, 2019","Very Slow, even on a High Speed of 45 MBPS. Quite cumbersome because of slow speed right from creating a login, getting & feeding OTP & searching complainants. Developors must look into this on priority. Regards",11
विजय कुमार,"November 7, 2024",Very bad experiences on this application. It doesn't work properly. And officer didn't solved my problem,4
A Google user,"September 16, 2019",95% effective system. Great service. These guys handle challenging work load very effectively. Call verification of the complaint resolution is the best feature. I urged for construction of road and garbage cleanup & was accomplished amazingly..,0
Tripathi Ashish,"October 28, 2024","It was very good but for some days there is a lot of problem in login, which is very important to be corrected, otherwise the person will not be able to use this app.",85
Sanjeev Gupta,"November 30, 2024","Most of the time portal is down. Complaints are closed citing fictions reasons just to project department responsible in good book without any benefit to the public.
1 person found this review helpful",0
Ejaz Ansari,"October 28, 2024","App doesn't open at all, tried reinstalling the app but nothing seems to working.
1 person found this review helpful",0
A Google user,"November 2, 2024","This app has been closed past 4 days I'm mailing this issue with attachment but there is no response yet.
1 person found this review helpful",0
AVNEESH VISHWAKARMA,"October 26, 2024",AFTER UPDATED THE APP IS NOT OPENING AND ALSO COMPLAINT THAT SHOWS THE DELETE OPTIONS IS NOT AVAILABLE IN THE APP,2
deepak yadav,"December 14, 2024",App is not working properly.OTP for complaint submission is not coming.Due to this complaint is not registered.please have a look on it.,2
Pritee Kushwaha,"November 26, 2024","I complaint through this app it's been almost a month still pending no body has seen that complaint, nobody's taking action, department is not taking this app seriously, There's no point to complaint.
1 person found this review helpful",0
Jeetendra Kumar,"November 5, 2024","Not working and application crash and it is not working last two weeks
1 person found this review helpful",0
Satwant Kaur,"October 31, 2024","App is not opening now how can we check our old data kindly fix this problem
1 person found this review helpful",0
SANTUSHTI HOSPITAL,"November 2, 2024",Application not working after new update What is the reason ? does any body responsible Does this facility rewoked by UP state government purposely? Or any bug ?,0
Nimit Arora,"December 13, 2024",Poor experience. Always gets stuck at the Send OTP for registration page.,4
chand umar,"May 24, 2024",It is just useless app as all the complaints are closed prematurely without any investigation or resolution. And u can't give feed back to the same as your feedback will not be submitted although they have a option for feedback but it does not work.,68
A Google user,"May 30, 2019","it's an absolutely useless application. In urban area it will not show tehsil Lucknow, you can't even skip it, it's red starred, mandatory to fill. Will show all other 7 tehsils. your problem will not be sorted out. Mild words, will necer be sorted out. Feedback is taken from the red, spam, coloured no. CM, cm office written on it (if you have some no. identifying app.). Seems some bunch of unemployed people, just to oblige them, given the onus of this sensitive job without any responsibility.",40
A Google user,"December 20, 2018",The concept is awesome but the monitoring and implementation part is lacking a lot...if monitoring and implementation is improved then it would really become an amazing app for the public.,4
P A,"December 17, 2020",The app is good. Suggest a change wrt User. The complaint is registered and the department closes the complaint sometimes though no action has been taken and user helplessly cannot do anything other then giving feedback. There should be system that compliant should be kept open for upto five days after saying disposal from office side so that the User / public can comment on the same complaint and get the work done properly.,102
A Google user,"October 9, 2019","what is this toast asking ... go to settings and enable permissions. the tost is blinking all the time when the app has opened, fix it and the app also not working as fast as it should be.",0
Pramod Chandra Sharma,"October 2, 2020","Quick response, but full of false reports. I suggest you to remove this app from play store, as State Govt. machinery is playing its role as usual. Junior officers put false remarks on report without contacting aggreived person and higher officet okays it. What a game. I am uninstalling this app and say to everyone not to download it as it is lullaby app.",0
A Google user,"October 17, 2019",App was not working for last 15 days.Now it has started working but neither REMINDER nor FEED BACK can be sent throgh the app. It always showing that there is some network reason. No proper decision being done throgh this Portal so far and there is no any monitering for REMINDERS and FEED BACKS too.,82
Rakesh Shukla,"September 27, 2022","Hello sir.. actually i am having a problem with signing up whenever i try to open it shows -""You have some network problem"" while other apps are working really ok with that network even they need more network speed comparison to this app.. please look forward to it. ...",13
Manish Negi,"May 22, 2022","This app is very helpful, I have raise complaint against owner for not returning Security amount, The police personnel was not even listening before, but after that they have resolved my complaint in 1-2 days, sad thing is they wrote on legal documents, matter has been already resolved and my alligation were found false. Still Thanks for the the app and UP government for a great service.",2
A Google user,"August 31, 2019",Its functioning the way UP government apps do. Dev made it live with bugs.. i dont know do they test before making any app live. I do request please improve your implementation and QA. Bug is it service in backgroud keep on checking whether permission granted or not in loop when we launch main activity of app.. user cant even interact with it. Please fix it.,3
A Google user,"April 3, 2019",this is very bad app. This Government is making us mad I complaint 4 times but they reject my complaint I am uploading all details reletive complaint even password of my scholarship registration number but they says data incomplete. I think they person are lasy they do not to open pdf and simply write data is insufficient. They are keeping salary in free like keeping from your dads,10
piyush gupta,"March 21, 2023","You will not get any resolution of your matter, no matter how many times you complaint. You will get the call from call centre for formality and they can't help and just disconnect the call everytime. This application will work when the downstream officer take this seriously and act on it. Else it is useless app.",3
A Google user,"November 22, 2018",I appreciate the initiative by UP govt. But my 2* is for poor grievance redressal mechanism. The officials lie in their report that complainant has been aproached regarding their grievance & close the report without providing an opportunity for a feedback. This is frustrating givn one has 2 re-register whole thing frm the scratch. You can introduce any number of apps assuring it to be user friendly;but it is reduced to nothing in the absence of efficient working system.Accountability shd be fixd,12
A Google user,"June 16, 2019","Purpose is awesome, but what is the point of giving language options, when all the departments are in Hindi, if I am choosing English language, everything should be in English. Idea of giving language ootion is to make it easy for people to use it in their comfortable language.",4
Surajkali Chaturvedi,"May 20, 2022",Feedback feature doesn't let you submit your response and same goes for reminders. Since it never ever allows you to submit responses inspite of trying hundred times stating some error......it seems it's done on purpose to let the complaining party not be able to give feedback. Dissatisfied.,26
msv,"October 1, 2022","None of my complaints have been resolved till this date,have been sending reminders but nothing has been done,calls from customer care automatically ends in maximum 14 seconds and if I pick it up in less than 14 seconds either I won't hear them or they say that server is down can't get my complaint data..",14
Anoop Dwivedi,"July 15, 2023","Afer updating the app,it doesn't opening or working, always asked for clearing history of app,i also cleared app cache and data,and reinstall the app but still facing the same..pls look into this and correct the same ASAP.. THANKS",55
Murali Dhar Pandey,"May 6, 2020","Its a great platform to raise and track the issues that leads to speedy resolution of long pending issue. I believe its a landmark initiative for the benefits of the citizens of India. But some actions are immediately needed, like there must be timeline of resolution and automatic alert and reopen the case if not resolved within mentioned timeline by officers and also there must be a stringent action to the officers who close the complaint mentioning resolved status with silly reasons..",8
Rekha Hassija,"February 16, 2022","This is not perfect app. If I want to register complain against loudspeaker, there is no way to upload AUDIO clipping. Besides, the concerned authorities post their review or comment. The concerned authorities must be told to register their contact number if the problem persists.",162
A Google user,"November 14, 2019",Very good app. But there should be facility to attach more than one document. For example I was required to upload three khataunis but I could upload only one page of first khatauni as there is no option to upload more than one attachment.,13
arpit mishra,"August 2, 2021",It is just a fraud going on on the name of greivance redressal mechanism.. Its been a year since I and other residents complained several times for sewer/Drain issue but local administration just send same copy paste false response and complain gets closed without verification by Chitrakoot DM office. Another tool to play with the emotions.. Nothing can chage the system.,31
Dr. Sanjay Pandey,"July 17, 2024",This portal is just a formality. Complaints are not resolved. This is a one way channel only. Many times complaints are closed with remarks which are difficult to understand for a common man. We get call also regarding resolution but the call is also again a formality. Please improve the working and provide solution otherwise it's just a wastage of money.,98
A Google user,"December 1, 2018",I tried to sign up many times but all time it's showing a network issue please try after some time why these apps showing network issue last one month .and why its compalsory to download to track complaints if its compalsory to download to track complaints then please fix network issue as soon as possible because I am not to track my complaints.,3
Ojasw Khare,"March 31, 2023","There is some problem in uploading document. I uploaded document with two different formats in jpeg and pdf but in complaints section, view attachment option was not available. My document doesn't get uploaded.",4
Harshit Tiwari,"January 9, 2022",1. Preview is feature is not provided which is an essential part of any application or website. 2. Uploaded documents are not visible after submission. 3. Departments are not serious they close grievances without any action and there is no option to forward to higher formation.,24
Rahul Patil,"September 25, 2022","Kids portals not for justice This portal was created to dump applications away from CM. I do not think a single application was seen by CM in their whole duration. I have done a complaint on women safety, alcohol and sever construction on city road in which one is moving from a year and their is no satisfactory answer on second one. I think only court can save this country.",14
A Legend Gamer 2.0,"June 5, 2022","Dear all, don't waste your time on this app. They don't send OTP on your mobile, there is no provision to send OTP on your e-mail. Worst app as it is not working, only mobile number is mandatory, while they asking your email but don't sent OTP on email.",35
sabhajeet dubey,"March 3, 2025","Excellent platform but ground level is satisfactory
1 person found this review helpful",0
A Google user,"March 23, 2019",Terrible Experience. Though the jansunwai portal is extremely great concept but most of the department doesn't take it seriously. Moreover the time given to the Disposal is just a formality nobody cares. Only one feedback is available for first time of disposal but if it reopened no feedback is available. Nobody cares about the authenticity of Disposal.,118
Narendra Jain,"February 10, 2021",I tried to lodge complaint against medical suprintendent balrampur hospital lucknow but every time the location shifts to rural locality. There is no way to change it.so the app doesnot help to register complaint. Please improve it and inform me when you have improved it .i will again try to lodge my complaint.,11
KK S,"March 21, 2022","App is fine but the government officials are so incompetent and unskilled that I do not expect my task to be properly done. Government's attempt to solve people's problems is greatly appreciated but as long as the current system isn't totally revamped, nothing is going to change.",36
Vibhushit Saxena,"May 5, 2021","Important App but app quality is not upto the mark. Many options are grey.. like.. you cannot choose rural or urban while submitting the complaint, which makes the app useless.. you cannot log your complaint..",14
Harsh Pathak,"March 7, 2021","Latest version of app have several technical issues, Attachments and Akhya Report is not being open. When you click on aakhya report automatically you will come at home page without opening of document. Please rectify Technical issues ASAP. I think technical team is updating apps without testing.",78
